Designator,Mid X,Mid Y,Layer,Rotation
"C17",87.090,-142.390,top,-90.000
"C18",91.090,-126.890,top,-90.000
"C19",95.290,-142.390,top,90.000
"C20",95.090,-126.890,top,90.000
"C21",103.000,-139.000,top,180.000
"C22",110.500,-127.500,top,0.000
"C23",126.025,-123.962,top,90.000
"C24",116.000,-138.827,top,90.000
"D6",108.000,-123.500,top,180.000
"Q1",123.000,-126.938,top,270.000
"Q2",123.000,-123.000,top,180.000
"Q3",129.025,-123.962,top,180.000
"R1",167.000,-103.150,top,90.000
"R2",169.000,-100.000,top,-90.000
"R3",167.000,-97.150,top,90.000
"R4",169.000,-94.150,top,-90.000
"R5",149.000,-69.000,top,-90.000
"R6",146.000,-72.000,top,-90.000
"R7",149.000,-75.000,top,-90.000
"R8",146.000,-78.000,top,-90.000
"R9",91.090,-142.390,top,-90.000
"R10",89.090,-142.390,top,90.000
"R11",87.090,-126.890,top,-90.000
"R12",89.090,-126.890,top,90.000
"R13",93.090,-126.890,top,-90.000
"R14",106.500,-127.500,top,180.000
"R15",119.000,-125.000,top,180.000
"R16",115.000,-125.000,top,180.000
"R17",119.000,-123.000,top,180.000
"R18",115.000,-123.000,top,180.000
"R19",127.000,-128.000,top,0.000
"R20",93.090,-142.390,top,90.000
"R21",149.190,-128.985,top,90.000
"R22",130.000,-129.500,top,90.000
"R23",118.000,-138.865,top,-90.000
"R24",128.460,-138.865,top,-90.000
"R25",126.460,-138.865,top,-90.000
"R26",124.460,-138.865,top,-90.000
"R27",122.460,-138.865,top,-90.000
"R28",120.460,-138.865,top,-90.000
